review,attributes
"Honestly, it's pretty good. Probably a little overhyped, but that doesn't make this burrito mediocre! Got the cabeza regular burrito w/avocado ""Dorado"" style. Dorado style REALLY makes a difference, it's sooooo good. I'm particularly impressed by how quickly our order was received and delivered! Only waited probably a half hour to order and get our delicious burritos. Satisfied :)","burrito,order"
This place totally deserves 5 stars! Great ambiance. The ability to choose music from a music app was awesome. Met some great people being that I am from LA and the servers bartenders and owner were all so friendly. Even bought us shots! Kept checking to make sure we were having a good time. Felt like we were old friends! We had carnitas quesadilla and omg to die for! •_The sauce served w it made it that much more amazing! I will be back on my future visits to SF!,"ambiance,music,server,bartender,owner,quesadilla"
"We have been going for decades, not just years. •_It is our favorite Chinese Seafood Restaurant in CA. •_There Salted Backed Crab is a total winner, with a touch of class, a finger bowl to clean up with when your done.There pea green sprouts are the perfect compliment. •_Likewise, there clams and their lobster.It may be charmingly funky, but consistently good and considering how overpriced many of the restaurants are around Union Square, this is a port in the storm for business travelers. •_It has impressed our colleagues from Italy to Greece, with the great seafood. •_It's not flashy, but the food is fabulous!","crab,pea green sprouts,clam,lobster,seafood"
"Worthy of the hype!I ordered the original dry fried chicken wings ($12.50 for 12 wings) and came away very impressed. •_The wings are a good size, so don't get scared off by the price tag. •_The wings are coated in a delicious sauce but somehow retain a fair bit of crunch. •_I also ordered the chicken fried rice ($8.25) which was also excellent. •_It came in a huge portion and can easily be shared with 2-3 people. •_Also, if you only have 2 people in your party, try going San Tung #2 next door first. •_They have more tables that can only fit 2 people, so you may be able to avoid a massive wait time.","fried chicken wings,chicken fried rice"
"Very rude people. Was really in the mood for chinese food and I let my friend talk me into trying Emmy's once again. We got there and noticed that our total was still higher than expected (after doing math, and after we were rushed off the phone before getting total) They had the nerve to act like they never knew we wanted one of the items ordered over the phone to be part of our ""free item for orders over $20 coupon"". Told my friend that he ""should have said so over the phone"" - NO B#$%!, YOU SHOULD LEARN HOW TO LISTEN TO SOMEONE OVER THE PHONE. My friends' voice is the SAME as it was on the phone, which means they never really wanted to honor coupon anyway. The old jerk reluctantly changed the price/took off the item from the tab, which should have been done in THE FIRST PLACE. It's too bad they are so much of a local place so they can practically get away with such bad service, because our food experiences have been good, especially the Fried Rice and Honey Walnut prawns.Like I said before, if you're not gonna be happy about honoring coupons (or rush people off the phone once they ask about them) DON'T advertise them you pathetic unprofessional unethical jack-ass. Hopefully new owners take over soon once these guys finally have to take action from Yelp reviews.","coupon,price,tab,fried Rice,prawns"
"I can only comment on the following:Atmosphere: bright, friendly, warm insideService: fairly fast, friendlyFood: did not purchase food, but my friend did and it looked like a big sandwich for the cost; I had a pomegranate ginger drink and it was good but that isn't special to Lou's Cafe.Bathroom: b/c we should always judge restaurants by their bathroom; clean, well-lit, easily accessibleWait time: there was always a line but it was a steady flow and not as long as purple kow's(!)","atmosphere,service,food,sandwich,ginger drink,bathroom"
"I *heart* cheese. And they use a lot of it.I also *heart* spicy salsa. And hark, for tis spicy. Unfortunately I do not *heart* tiny margaritas filled with ice and not much else for six dollars. Alas, for other than the above, it was your standard American-Mexican place, that seems to be created for the Fi-Di taste buds.Sighs...so close, yet so far away...","cheese,salsa,margarita"
talian Restaurant|,
Typical Chinese dim sum place. The wait is ridiculous and the tables are crowded but the food is worth it. They are quick and efficient when it comes to ordering and serving food. The prices are a bit high but the dimsum options are really good.,"food,price,dimsum"
"I've been here a couple times now, especially since it's walking distance from the stadium and I wanted to avoid overpriced hot dogs and beer (someone tell me what that's about!) at the Giants game. •_Honestly, if you're a big Mexican food eater like me, the flavor just isn't there. I ordered the steak tacos. •_For the most part it tasted like cooked beef and the texture was a bit tough. •_Some of my buddies love the beer, which I also thought was okay. If you've been to places like La Taquerria or San Bruno Taqueria (no affiliation, just like them), you won't find it very comparable. •_Prices are good though. •_Be warned seating is limited.","tacos,beer,price,seating"
Finding a good place to eat in Chinatown is pretty hard but after living in Nob Hill for 3 years I found this late night treat to be one of the best.,
"Absolutely over rated!Ordered 2 house chicken noodles. Very salty, greasy, too much MSG. Rude owner. Will never come back.","noodle,owner"
Parking: Metered and street parking all around. Meters end at 6pm.Pork XLB: lots of soup. Very soft center.Seared chasu bao: a basic bbq pork bun was some sear. Id passBeijing noodles: this is a safe food. Id pass. Waste of stomach space.Shrimp toast: a chinese donut (the one you get at porridge) with shrimp paste inside. Its good but literally a shrimp paste chinese donut.Seafood gyoza: a very generous meaty shrimo dumpling. Amazing. Must get. Dip it in the white sauce. Dip it.,"parking,pork,bao,toast,gyoza"
"Food was consistent. •_The faux paux general tsao tofu-chicken was a bit flourly..it tasted like flour, literally. •_Otherwise the eggplant, friend rice, and hong kong styled noodles were delicious. •_Also the dim sum was fresh and pretty darn good for delivery. We will •_be back again, delivery was 20 minutes, can't beat that!Veggie egg rolls were very good too.","chicken,eggplant,rice,noodle,dimsum,delivery,rolls"
