,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"Delarosa is one of my favorite restaurants in San Francisco. I have been here at least 20 times and keep going back for the food. There is always a wait, but you can put your name on the list and walk around the cute stores on Chestnut Street. Now, they do allow you to call in and put your name on the list as long as you check-in within the hour which is definitely a nice plus to the dining experience overall. Food: We always order the same thing and I am never disappointed. We start with the Burrata Bruschetta with hazelnut",food,order,experience,check,list,wait,,,,,,,,,,,,,,,,,,,,,,
"The food was pretty good, but this place needs serious help with hostess.Pro: early girl tomatoes, funghi, sommelier, beet soup, halibut Neutral: meatball. Chocolate cakeCon: tables are not well managed by the hostess. We called 30 min ahead and was told that we shouldn't worry about reservations. It was packed with people waiting for tables and multiple open tables ¥_. The rest of the FOH staff were nice but frazzled because of the hostess.",staff,food,place,hostess,meatball,people,waiting,soup,,,,,,,,,,,,,,,,,,,,
"Second time here and a little disappointed. Their ""Super Burritos"" are extremely simple and pretty dry. The chicken was large chunks, most of them were blackened giving it a burnt taste. Then just rice, beans, a little cheese and Pico de gallo. To be fair, they dont list the ingredients of what a ""super burrito"" is, but there is no sour cream, guacamole, lettuce or anything that is usually standard in a ""Super"". Price and size is decent, but I'd rather pay a little more for a burrito that wasn't so bland and dry.I would say the tacos are the better buy. Very large, filling, and tasty.",cream,standard,rice,lettuce,cheese,size,list,ingredients,tacos,chicken,taste,guacamole,beans,burrito,,,,,,,,,,,,,,
1. Large portions2. Great salsa bar,salsa,bar,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hands down the best pizza I've ever had. The service is great too. You might have to wait a little bit to get seated but that's okay, totally worth it in the end. Best Chicago deep dish.",dish,wait,pizza,service,,,,,,,,,,,,,,,,,,,,,,,,
"I can't rave enough about San Tung. I used to never get the hype, how good can chicken wings actually be? Pretty damn good. That is the answer. These chicken wings are amazing. My recommendation would be to go before they open so that you can snag a seat once they open. If you miss the first seating, you better be willing to wait. There is San Tung 2 next door, but people say that it doesn't compare to the original. The dumplings were amazing, but the show-stealer was definitely those tasty wings. The green beans were also very tasty. I glanced at the weekday lunch menu and saw that they had some very affordable offerings, so that is something I will need to check off my list eventually.",wings,recommendation,menu,check,seat,dumplings,list,beans,people,lunch,chicken,door,wait,seating,,,,,,,,,,,,,,
"Obama I trusted you!! I came to this dim sum place because I saw pictures that Obama went to it. So, I was like ight, if Obama went then it is pretty decent. I don't think I ever been so wrong. This place was disgusting. Worst dim sum I have had in my life. When I walked in the restaurant it had a horrible smell, kind of like an old sewage. I gave it the benefit of the doubt and sat through it. I thought it was the typical dim sum place where they push a cart around, but nope. You put in a order and they bring it out. So, I am like huh, this dim sum is about to be the freshest, but boy have I ever been so wrong. The chicken feet tasted like the chicken just got done running around and was soggy too. Everything tasted old and bad. We ordered fried pork bun, tripe, tofu roll, shrimp roll (was so bad, so fishy) and a few more. Worst decision to come here. Never again.",roll,place,order,decision,tripe,tofu,shrimp,chicken,bun,restaurant,pork,,,,,,,,,,,,,,,,,
"I go to wild pepper regularly for lunch.Overall the flavor is good, ingredients fresh, portions plentiful.The Dining Room is clean, and has a reasonable level of noise.It has a nice location, tucked out of the way.",flavor,portions,ingredients,lunch,location,pepper,,,,,,,,,,,,,,,,,,,,,,
"Food was sub par. Even for American Mexican, it had no taste or flavor at all. Drinks were acceptable but nothing to write home about. Great views of the city and good atmosphere though.",flavor,city,home,taste,atmosphere,,,,,,,,,,,,,,,,,,,,,,,
"54 Mint is my favorite Italian place in the city right now. We live next door so I'm embarrassed to say that we've only gotten takeout - always throws them for a loop because they don't really do takeout, but are super friendly about accommodating. The owner is a sweetheart.I used to work at an Italian restaurant and I think the food is pretty fantastic. So much flavor and technique here:The gnocchi w/the meaty sauce and the carbonara are excellent. My absolute favorite thing on the menu is the black kale salad, which they adapt seasonally. The octopus carpaccio is like nothing I've had before - so tender, fresh and light. The clams appetizer is a favorite - delicious sauce w/a bite that prove you don't need loads of salt to create great flavor. I even really enjoyed the perfectly cooked, tender skirt steak, which came with flavorful broccolini and potatoes...and I'm not a red meat person.I'm dying to try the seafood stew and unfortunately they can't do it as as a takeout item...so looks like I'll need to actually sit down here soon and update my review based on the service and experience.",food,place,takeout,gnocchi,meat,owner,appetizer,carpaccio,person,item,city,sauce,steak,stew,flavor,service,menu,seafood,restaurant,salad,tender,review,experience,octopus,door,salt,,
"One of my favorite meals on vacation in SF, great burritos and margaritas. Reasonable and friendly waiters.",margaritas,burritos,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delicious true Italian fare. From the moment you walk in you're family. Waiters are dancing, clapping and having a good time. No pepperoni, no spaghetti and meatballs. Italian pizza sans tomato sauce with prosciutto, shaved Parmesan and arugula. Meat stuffed in noodles with a creamy sauce, squid ink pasta with seafood, NY steak with tomatoes, arugula, shaved mozzarella and potatoes, salad with super light dressing...Had to wait despite reservations. Had to wait after sitting. But that's Italian in itself. Make it an event, not just another meal. ¥_Go easy on the bread and save room... Three of us had 2 salads, 3 entrees and a pizza.",squid,sitting,room,tomato,fare,bread,family,prosciutto,meatballs,spaghetti,meal,sauce,steak,pepperoni,arugula,noodles,seafood,pizza,salad,entrees,mozzarella,pasta,wait,,,,,
